Port_IDs,ROI,Profit/Loss,Sharpe Ratio,MDD,Win Rate,Win_Positions,Total Positions
3672754654734989568,-7.399321653030665,-4004.085376020008,3.9525732695278366,-31.691846778647257,37.826086956521735,87.0,230
3733192481840423936,0.4236273802322647,5386.251883819965,6.0460703716969215,-1.4118863296544961,83.28313253012048,553.0,664
3768170840939476993,161.68780199914247,1484.9332230300001,0.0,0.0,0.0,0.0,7
3784403294629753856,-3.7037940673768395,-11487.316628359966,1.579233760458542,-0.3550199450472266,18.789905746427486,618.0,3289
3786761687746711808,-11.412002892342953,-3532.8093496099978,5.2826565012130935,-1.0035869881939996,39.02439024390244,16.0,41
3788465932399412480,-2.467197101039865,-6886.068100459979,3.2786633208573663,-0.1453097886095117,65.28,816.0,1250
3818233536529843712,-15.98236773267881,-64262.95545303998,0.0,-1.3639858426085976,66.22516556291392,400.0,604
3819545518395756033,-6.534684541627121,-3820.884426790004,7.910092227316234,-0.03124161406860403,4.545454545454546,2.0,44
3826087012661391104,-55.77783024427213,-1159.2761240599998,7.854031351284926,-0.2182523368712182,78.46153846153847,51.0,65
3858510226868015873,0.6955691550046013,2448.7288266800174,-0.9496813255143904,-308.6777241925757,27.232142857142854,122.0,448
3865845304835489536,-0.2878669337515464,1120.7000388599824,0.0,-0.07294610573031536,37.22466960352423,169.0,454
3878631538480067329,0.6136243701494252,6843.959429669961,1.7835472483669286,-0.19405942119892136,69.94991652754591,1257.0,1797
3879821005658659073,14.804072887541222,18542.50625633,0.0,-0.3150021042933133,68.646080760095,289.0,421
3880920727367689984,-0.2764194346840864,-401.2972864099902,30.60308905540582,-0.16502905863791237,40.243902439024396,33.0,82
3886752488982104320,0.4737035135910808,9086.134399690045,2.809992197993169,-0.016375658333633848,73.9251040221914,533.0,721
3887577207880438784,2.36761056765564,15609.408112569923,3.386837669054886,-2.2989304379025906,28.76661742983752,779.0,2708
3891020560590657281,24.08852917591007,20475.427613559994,0.0,-0.034383764226726295,39.06976744186046,84.0,215
3907081197088384000,-0.7133601087522408,12147.044339420096,-11.425942180591752,0.0,1.6129032258064515,17.0,1054
3910887259807777281,-16.425783489622678,-16290.22187630002,0.0,-0.28870895729998547,28.57142857142857,2.0,7
3910983669796782848,-0.707504780727021,3415.470696280058,15.18007215223731,-0.2357559230097598,61.3013698630137,179.0,292
3911997667197443328,-4.180745422881938,-1475.1386109099922,-3.2472507349379467,-3.517891774383935,44.230769230769226,23.0,52
3914654298562589441,0.08104685606417383,517.386014530018,6.404337278655737,-0.5622451584793179,18.6046511627907,40.0,215
3919174299855478272,-0.14775119564020428,-247.64500875002568,0.0,0.0,2.618657937806874,16.0,611
3923766029921022977,0.2130976195214746,1298.5618303600068,0.0,-1.4636691373928015,4.0431266846361185,30.0,742
3925368433214965504,-4.076444213119114,-30866.13301746991,8.502212553938412,-0.06700687874992771,37.254901960784316,228.0,612
3926423286576838657,0.17097830786499918,2135.5775424500657,0.0,-3.32030105911749,98.78048780487805,162.0,164
3930688517098515713,-5.352483712515454,-16321.617989190005,7.533789095412695,-0.04879465210112275,19.565217391304348,9.0,46
3931992636670880512,-5.12403075014786,-37414.78478459992,4.668600078051284,-0.655464555780558,20.957038071952496,600.0,2863
3932103299427844097,-0.49798462377654346,-547.1260233200701,1.3928343883784413,-3.7466166636772797,32.96296296296296,534.0,1620
3935808725185052672,-0.6148857630089007,-3703.530426990067,3.48644972457858,-1.1916119715045965,28.98936170212766,218.0,752
3936410995029308417,132.29551719490337,248186.74224301003,6.7082039324993685,-0.0374029444404889,35.294117647058826,6.0,17
3937714876784951296,-2.9769657781728895,-17712.592428539887,0.6423640886121311,-2.3268472332405925,32.17391304347826,74.0,230
3939318616482048768,-9.349545523020884,-37417.9259246399,0.0,-0.18455499093243488,35.61643835616438,78.0,219
3939925275039085824,-1.728465427768277,-785.5402773699807,0.0,-0.0807075707244645,20.06855718292303,644.0,3209
3941019213896463617,-16.78703670179536,-75075.03952438997,1.489663919823096,-0.8916513229770233,65.3061224489796,32.0,49
3942630767220672256,-2.897278349462676,-11185.481101689991,11.707130191192036,-2.6184178616434255,59.924306139613115,1425.0,2378
3943533600390906881,-1.118937981628668,1108.499254559994,6.553188043670421,-1.111428743423532,46.04026845637584,343.0,745
3944088772635000577,-3.9625534017736426,-14048.21560581995,6.176180426134483,-0.3294289007499947,29.035308953341744,921.0,3172
3944239644144231424,-5.803206755369857,-29776.109359210008,2.635399263506188,-0.34289929633422417,37.05035971223021,103.0,278
3944658614777849089,142.5075761691898,43513.84705418,0.0,-0.04940714755803608,40.0,6.0,15
3946087913459823360,-2.934350587489736,-1133.2460415200028,0.0,-365.8516159417925,31.91264529764001,906.0,2839
3949214983441029120,-0.6448904517704714,36.22222738001187,0.0,-0.8043272268298094,24.351211072664363,563.0,2312
3949329502284748801,61.48267341850746,12605.368074229998,0.0,-0.12365746533849789,19.090909090909093,42.0,220
3951723256343550465,1.45945795205759,24276.063306009724,3.658070835882164,-0.46893119830282526,59.57842529448233,961.0,1613
3952087967771302912,-8.247812613010339,-6261.854891870016,0.0,-0.0525251318716376,49.333333333333336,37.0,75
3953433416230728705,-0.8718259729561748,-355.47918280994054,4.273222902969658,-0.11964355531668788,23.599999999999998,59.0,250
3953764659057081857,-5.85249504987541,-43101.020059249975,0.0,-2.115328380058086,66.52360515021459,155.0,233
3956048468100538880,41.32595800936831,22488.08560463,0.0,-0.015840615026156538,81.81818181818183,18.0,22
